Doy;Santa_Olalla;Lucio_del_rey;Hondon_del_Burro;Fuente_Duque
2021001.0;0.266172185;nan;0.24773071;0.08691238800000001
2021002.0;nan;nan;nan;nan
2021003.0;nan;nan;nan;nan
2021004.0;nan;nan;nan;nan
2021005.0;nan;nan;nan;nan
2021006.0;nan;nan;nan;nan
2021007.0;nan;nan;nan;nan
2021008.0;nan;nan;nan;nan
2021009.0;nan;nan;nan;nan
2021010.0;nan;nan;nan;nan
2021011.0;0.18564582666666665;0.26851648;0.2722557133333333;0.16329879333333333
2021012.0;nan;nan;nan;nan
2021013.0;nan;nan;nan;nan
2021014.0;nan;nan;nan;nan
2021015.0;nan;nan;nan;nan
2021016.0;0.180240645;nan;0.31124002;0.234292495
2021017.0;nan;nan;nan;nan
2021018.0;nan;nan;nan;nan
2021019.0;nan;nan;nan;nan
2021020.0;nan;nan;nan;nan
2021021.0;0.16798659;0.24714167;0.30123657;0.22370538
2021022.0;nan;nan;nan;nan
2021023.0;nan;nan;nan;nan
2021024.0;nan;nan;nan;nan
2021025.0;nan;nan;nan;nan
2021026.0;nan;nan;nan;nan
2021027.0;nan;nan;nan;nan
2021028.0;nan;nan;nan;nan
2021029.0;nan;nan;nan;nan
2021030.0;nan;nan;nan;nan
2021031.0;nan;nan;nan;nan
2021032.0;nan;nan;nan;nan
2021033.0;nan;nan;nan;nan
2021034.0;nan;nan;nan;nan
2021035.0;nan;nan;nan;nan
2021036.0;nan;nan;nan;nan
2021037.0;nan;nan;nan;nan
2021038.0;nan;nan;nan;nan
2021039.0;nan;nan;nan;nan
2021040.0;nan;nan;nan;nan
2021041.0;nan;nan;nan;nan
2021042.0;nan;nan;nan;nan
2021043.0;nan;nan;nan;nan
2021044.0;nan;nan;nan;nan
2021045.0;nan;nan;nan;nan
2021046.0;0.056796255000000004;0.39699516;0.494340255;0.37961897
2021047.0;nan;nan;nan;nan
2021048.0;nan;nan;nan;nan
2021049.0;nan;nan;nan;nan
2021050.0;nan;nan;nan;nan
2021051.0;nan;nan;nan;nan
2021052.0;nan;nan;nan;nan
2021053.0;nan;nan;nan;nan
2021054.0;nan;nan;nan;nan
2021055.0;nan;nan;nan;nan
2021056.0;nan;nan;nan;nan
2021057.0;nan;nan;nan;nan
2021058.0;nan;nan;nan;nan
2021059.0;nan;nan;nan;nan
2021060.0;nan;nan;nan;nan
2021061.0;0.11967617666666668;0.32699218;nan;nan
2021062.0;nan;nan;nan;nan
2021063.0;nan;nan;nan;nan
2021069.0;nan;nan;nan;nan
2021070.0;nan;nan;nan;nan
2021071.0;0.07707533750000001;nan;0.6867612000000001;0.475987085
2021072.0;nan;nan;nan;nan
2021073.0;nan;nan;nan;nan
2021074.0;nan;nan;nan;nan
2021075.0;nan;nan;nan;nan
2021076.0;0.10217101;0.41541073;0.61730637;0.45962004
2021077.0;nan;nan;nan;nan
2021078.0;nan;nan;nan;nan
2021079.0;nan;nan;nan;nan
2021080.0;nan;nan;nan;nan
2021081.0;0.16820495000000002;nan;0.56162627;0.38912121
2021082.0;nan;nan;nan;nan
2021083.0;nan;nan;nan;nan
2021084.0;nan;nan;nan;nan
2021085.0;nan;nan;nan;nan
2021086.0;nan;nan;0.2603169366666667;nan
2021087.0;nan;nan;nan;nan
2021088.0;nan;nan;nan;nan
2021089.0;nan;nan;nan;nan
2021090.0;nan;nan;nan;nan
2021091.0;0.18238515;nan;0.13329478;nan
2021092.0;nan;nan;nan;nan
2021093.0;nan;nan;nan;nan
2021094.0;nan;nan;nan;nan
2021095.0;nan;nan;nan;nan
2021096.0;0.2731951266666666;nan;0.39202356666666666;0.4057216133333334
2021097.0;nan;nan;nan;nan
2021098.0;nan;nan;nan;nan
2021099.0;nan;nan;nan;nan
2021100.0;nan;nan;nan;nan
2021101.0;0.32457852;0.13170634;0.443530755;0.37393166
2021102.0;nan;nan;nan;nan
2021103.0;nan;nan;nan;nan
2021104.0;nan;nan;nan;nan
2021105.0;nan;nan;nan;nan
2021106.0;nan;nan;nan;nan
2021107.0;nan;nan;nan;nan
2021108.0;nan;nan;nan;nan
2021109.0;nan;nan;nan;nan
2021110.0;nan;nan;nan;nan
2021111.0;nan;nan;nan;nan
2021112.0;nan;nan;nan;nan
2021113.0;nan;nan;nan;nan
2021114.0;nan;nan;nan;nan
2021115.0;nan;nan;nan;nan
2021116.0;nan;nan;0.77944095;0.31814677999999996
2021117.0;nan;nan;nan;nan
2021118.0;nan;nan;nan;nan
2021119.0;nan;nan;nan;nan
2021120.0;nan;nan;nan;nan
2021121.0;0.25674048;nan;0.49386416499999997;0.43715302
2021122.0;nan;nan;nan;nan
2021123.0;nan;nan;nan;nan
2021124.0;nan;nan;nan;nan
2021125.0;nan;nan;nan;nan
2021126.0;0.18351031666666665;nan;0.4736925733333333;0.46689469666666666
2021127.0;nan;nan;nan;nan
2021128.0;nan;nan;nan;nan
2021129.0;nan;nan;nan;nan
2021130.0;nan;nan;nan;nan
2021131.0;nan;0.13352604;nan;nan
2021132.0;nan;nan;nan;nan
2021133.0;nan;nan;nan;nan
2021134.0;nan;nan;nan;nan
2021135.0;nan;nan;nan;nan
2021136.0;0.16450074;nan;0.45545055;0.45178588
2021137.0;nan;nan;nan;nan
2021138.0;nan;nan;nan;nan
2021139.0;nan;nan;nan;nan
2021167.0;nan;nan;nan;nan
2021168.0;nan;nan;nan;nan
2021169.0;nan;nan;nan;nan
2021170.0;nan;nan;nan;nan
2021171.0;nan;nan;nan;nan
2021172.0;nan;nan;nan;nan
2021173.0;nan;nan;nan;nan
2021174.0;nan;nan;nan;nan
2021175.0;nan;nan;nan;nan
2021176.0;0.44460681999999996;nan;nan;nan
2021177.0;nan;nan;nan;nan
2021178.0;nan;nan;nan;nan
2021179.0;nan;nan;nan;nan
2021180.0;nan;nan;nan;nan
2021181.0;0.45961378999999997;nan;nan;nan
2021182.0;nan;nan;nan;nan
2021183.0;nan;nan;nan;nan
2021184.0;nan;nan;nan;nan
2021185.0;nan;nan;nan;nan
2021186.0;0.70174354;nan;nan;nan
2021187.0;nan;nan;nan;nan
2021188.0;nan;nan;nan;nan
2021189.0;nan;nan;nan;nan
2021190.0;nan;nan;nan;nan
2021191.0;nan;nan;nan;nan
2021192.0;nan;nan;nan;nan
2021193.0;nan;nan;nan;nan
2021194.0;nan;nan;nan;nan
2021195.0;nan;nan;nan;nan
2021196.0;nan;nan;nan;nan
2021197.0;nan;nan;nan;nan
2021198.0;nan;nan;nan;nan
2021199.0;nan;nan;nan;nan
2021200.0;nan;nan;nan;nan
2021201.0;0.449900965;nan;nan;nan
2021202.0;nan;nan;nan;nan
2021203.0;nan;nan;nan;nan
2021204.0;nan;nan;nan;nan
2021205.0;nan;nan;nan;nan
2021206.0;0.5800630866666667;nan;nan;nan
2021207.0;nan;nan;nan;nan
2021208.0;nan;nan;nan;nan
2021209.0;nan;nan;nan;nan
2021210.0;nan;nan;nan;nan
2021211.0;0.6856166966666666;nan;nan;nan
2021212.0;nan;nan;nan;nan
2021213.0;nan;nan;nan;nan
2021214.0;nan;nan;nan;nan
2021215.0;nan;nan;nan;nan
2021216.0;0.5511273333333334;nan;nan;nan
2021217.0;nan;nan;nan;nan
2021218.0;nan;nan;nan;nan
2021219.0;nan;nan;nan;nan
2021220.0;nan;nan;nan;nan
2021221.0;0.4530945533333333;nan;nan;nan
2021222.0;nan;nan;nan;nan
2021223.0;nan;nan;nan;nan
2021224.0;nan;nan;nan;nan
2021225.0;nan;nan;nan;nan
2021226.0;0.36362627;nan;nan;nan
2021227.0;nan;nan;nan;nan
2021234.0;nan;nan;nan;nan
2021235.0;nan;nan;nan;nan
2021236.0;nan;nan;nan;nan
2021237.0;nan;nan;nan;nan
2021238.0;nan;nan;nan;nan
2021246.0;0.3740513;nan;nan;nan
2021247.0;nan;nan;nan;nan
2021248.0;nan;nan;nan;nan
2021249.0;nan;nan;nan;nan
2021250.0;nan;nan;nan;nan
2021251.0;0.209671455;nan;nan;nan
2021252.0;nan;nan;nan;nan
2021253.0;nan;nan;nan;nan
2021254.0;nan;nan;nan;nan
2021255.0;nan;nan;nan;nan
2021256.0;nan;nan;nan;nan
2021257.0;nan;nan;nan;nan
2021258.0;nan;nan;nan;nan
2021259.0;nan;nan;nan;nan
2021260.0;nan;nan;nan;nan
2021261.0;0.207284375;nan;nan;nan
2021262.0;nan;nan;nan;nan
2021263.0;nan;nan;nan;nan
2021264.0;nan;nan;nan;nan
2021265.0;nan;nan;nan;nan
2021266.0;nan;nan;nan;nan
2021267.0;nan;nan;nan;nan
2021268.0;nan;nan;nan;nan
2021269.0;nan;nan;nan;nan
2021270.0;nan;nan;nan;nan
2021271.0;0.46499341000000005;nan;nan;nan
2021272.0;nan;nan;nan;nan
2021273.0;nan;nan;nan;nan
2021274.0;nan;nan;nan;nan
2021275.0;nan;nan;nan;nan
2021276.0;nan;nan;nan;nan
2021277.0;nan;nan;nan;nan
2021278.0;nan;nan;nan;nan
2021279.0;nan;nan;nan;nan
2021280.0;nan;nan;nan;nan
2021281.0;0.3389915;nan;nan;nan
2021282.0;nan;nan;nan;nan
2021283.0;nan;nan;nan;nan
2021284.0;nan;nan;nan;nan
2021285.0;nan;nan;nan;nan
2021286.0;0.12312834624999999;nan;nan;nan
2021287.0;nan;nan;nan;nan
2021288.0;nan;nan;nan;nan
2021289.0;nan;nan;nan;nan
2021290.0;nan;nan;nan;nan
2021291.0;0.15472574;nan;nan;nan
2021292.0;nan;nan;nan;nan
2021294.0;nan;nan;nan;nan
2021295.0;nan;nan;nan;nan
2021296.0;0.14762764;nan;nan;nan
2021297.0;nan;nan;nan;nan
2021298.0;nan;nan;nan;nan
2021299.0;nan;nan;nan;nan
2021300.0;nan;nan;nan;nan
2021301.0;0.23972577750000001;nan;nan;nan
2021302.0;nan;nan;nan;nan
2021303.0;nan;nan;nan;nan
2021304.0;nan;nan;nan;nan
2021305.0;nan;nan;nan;nan
2021306.0;nan;nan;nan;nan
2021307.0;nan;nan;nan;nan
2021308.0;nan;nan;nan;nan
2021309.0;nan;nan;nan;nan
2021310.0;nan;nan;nan;nan
2021311.0;0.169644195;nan;nan;nan
2021312.0;nan;nan;nan;nan
2021313.0;nan;nan;nan;nan
2021314.0;nan;nan;nan;nan
2021319.0;nan;nan;nan;nan
2021320.0;nan;nan;nan;nan
2021321.0;0.31851534;nan;nan;nan
2021322.0;nan;nan;nan;nan
2021323.0;nan;nan;nan;nan
2021324.0;nan;nan;nan;nan
2021325.0;nan;nan;nan;nan
2021326.0;nan;nan;nan;nan
2021327.0;nan;nan;nan;nan
2021328.0;nan;nan;nan;nan
2021329.0;nan;nan;nan;nan
2021330.0;nan;nan;nan;nan
2021331.0;0.210396265;nan;nan;nan
2021332.0;nan;nan;nan;nan
